,drug,cluster
0,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,106
1,O=C(C[C@H]1C[C@H]2c3cc(NS(=O)(=O)c4ccc(F)cc4)ccc3O[C@H]2[C@H](CO)O1)NCc1ccc(Oc2ccccc2)cc1,56
2,COc1ccc(-c2ccc([C@H]3[C@H]4CN(C(=O)Cc5ccncc5)CCCCN4[C@H]3CO)cc2)cc1,94
213,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,77
5,COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)NC(=O)C(C)(C)O4)n2)cc(OC)c1OC,96
6,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,82
7,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)ncc2Cl)c1,37
152,O=[N+]([O-])c1cnc2ccccc2c1Sc1ccccc1,98
132,CC(=Cc1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C,50
10,COc1cccc(-c2cccc(-c3nc(C(=O)NCC(F)(F)F)cc4c3[C@H](CCO)N([S@@](=O)C(C)(C)C)C4)c2)c1,51
11,O=C1NC(=O)C(=Cc2ccc3nccc(-c4ccncc4)c3c2)S1,116
12,O=C1N[C@@H]2C(=C[C@H](O)[C@@H](O)[C@H]2O)c2cc3c(c(O)c21)OCO3,18
13,Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,73
15,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,83
18,Oc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,45
19,COc1ccc(-c2ccc3c(N4CCOCC4)nc(N4C[C@H](C)O[C@H](C)C4)nc3n2)cc1CO,8
20,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1C(F)(F)F,39
21,O=C1Nc2ccccc2C1=C1Nc2ccccc2C1=NO,12
110,CN(C)CCN1C(=O)c2cccc3cc(N)cc(c23)C1=O,47
103,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)Nc1snnc1-c1ccccc1)C1CCCCC1,36
