,drug,cluster
522,CC[C@@H](C(=O)C(C)[C@@H](O)[C@H](C)CCc1ccc(C)c(O)c1C(=O)O)C1OC(CC)(C2CC[C@](O)(CC)[C@H](C)O2)C[C@@H]1C,28
542,CCCCc1nc2cc(C=CC(=O)NO)ccc2n1CCN(CC)CC,24
45,CCOC(=O)c1ncc2[nH]c3cccc(OC(C)C)c3c2c1C,10
554,CN(C)c1ccc2c(c1)[C@H]1C[C@H](CC(=O)NCc3ccc(Oc4ccccc4)cc3)O[C@H](CO)[C@H]1O2,29
414,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,7
360,O=C1c2ccccc2-c2n[nH]c3cccc1c23,33
80,O=C(O)c1ccc(NCc2nc3cc4ccccc4cc3[nH]2)cc1,26
546,OC[C@H]1[C@H](c2ccc(C=Cc3ccccc3)cc2)[C@H]2CN(Cc3cccnc3)CCCCN21,25
22,CC(C)(C)OC(=O)Nc1ccc(-c2cc(C(=O)NCCCCCCC(=O)NO)no2)cc1,0
27,COC1=CC(=O)C[C@@H](C)[C@@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O,14
614,CN1N=C(N)c2cn(C3OC(CO)C(O)C3O)c3ncnc1c23,32
189,C[C@H]1CN([C@H](C)CO)C(=O)c2ccccc2-c2ccccc2CO[C@H]1CN(C)C(=O)Nc1ccc(F)cc1,30
596,COc1cc(N2CCC(N(C)C)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1,4
52,COc1ccc2c3c(n(C)c2c1)[C@H](CO)N(C(=O)C1CC1)CC31CCN(Cc2cccc(F)c2)CC1,2
111,COc1ccccc1-c1cccc(-c2nc(C(=O)NCc3ccncc3)cc3c2[C@H](CCO)N([S@@](=O)C(C)(C)C)C3)c1,27
214,CCN(CC)CCOc1ccc(/C(=C(/Cl)c2ccccc2)c2ccccc2)cc1,16
77,CN1C(=O)c2cc(NC(=O)C3CCOCC3)ccc2OC[C@@H]2O[C@H](CC(=O)NCc3ccc4c(c3)OCO4)CC[C@H]21,6
639,CCN(CC)CC1CCN(c2ncc3ncnc(Nc4ccc(F)c(Cl)c4)c3n2)CC1,9
126,CO[C@H]1C[C@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@H](OP(C)(C)=O)[C@H](OC)C2)CC(=O)[C@H](C)C=C(C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)C=CC=CC=C1C,1
731,COC(=O)Nc1nc2cc(C(=O)c3cccs3)ccc2[nH]1,15
755,O=C(NOCCO)c1cc(CN2OCCCC2=O)c(F)c(F)c1Nc1ccc(I)cc1F,12
155,CCCNC(=O)Nc1ccc2c(c1)C(=O)N(C)C[C@H](OC)[C@@H](C)CN(Cc1ccc(-c3ccccn3)cc1)[C@@H](C)CO2,8
308,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1,19
212,C[C@@H]1CC[C@H]2[C@@H](C)C(OC(=O)CCC(=O)O)OC3O[C@]4(C)CC[C@@H]1[C@]32OO4,22
224,O=C1NC(=O)[C@@H](c2cn3c4c(cccc24)CCC3)[C@@H]1c1c[nH]c2ccccc12,17
794,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,3
432,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,18
333,CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OC[C@H]3CCCNC3)c21,5
366,O=C(NC1CCN(CCCCC2(C(=O)NCC(F)(F)F)c3ccccc3-c3ccccc32)CC1)c1ccccc1-c1ccc(C(F)(F)F)cc1,21
474,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,34
