,drug,cluster
300,O=C(C[C@@H]1C[C@@H]2c3cc(NS(=O)(=O)c4ccc(F)cc4)ccc3O[C@@H]2[C@@H](CO)O1)NCc1ccc(Oc2ccccc2)cc1,0
601,O=c1[nH]c(=O)n([C@H]2C[C@H](O)C(CO)O2)cc1I,67
467,CC(C=CC=C(C)/C=C/C1=C(C)CCCC1(C)C)=CC(=O)O,40
402,CN1c2ccccc2C(=O)N2CCc3c([nH]c4ccccc34)C21,111
430,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,31
386,NC1(C(=O)N[C@@H](CCO)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,77
143,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(Cl)cc23)c1F,9
145,CCNC(=O)c1cc2c(c(-c3cccc(-c4cccc(OC)c4)c3)n1)[C@H](CCO)N([S@@](=O)C(C)(C)C)C2,15
147,Cc1ccc(C(=CCN2CCCC2)c2ccccn2)cc1,48
222,Nc1ncnc2c1c(I)cn2C1OC(CO)C(O)C1O,37
157,Cc1ccc(C(=O)N(CCCN)[C@@H](c2oc3cc(Cl)ccc3c(=O)c2Cc2ccccc2)C(C)C)cc1,13
159,C[C@]12CC[C@H]3[C@@H](CC(=O)[C@H]4CC(=NOCCN)CC[C@@]43C)[C@@H]1CCC2=O,100
432,COc1cc2c3cc1Oc1c(OC)c(OC)cc4c1[C@@H](Cc1ccc(OC(=O)c5ccc([N+](=O)[O-])cc5)c(c1)Oc1ccc(cc1)C[C@@H]3N(C)CC2)N(C)CC4,25
171,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,63
173,C[C@@H]1CC[C@H]2[C@@H](C)C(OC(=O)CCC(=O)O)OC3O[C@]4(C)CC[C@@H]1[C@]32OO4,14
175,CCN(CC)CCOc1ccc(/C(=C(/Cl)c2ccccc2)c2ccccc2)cc1,24
251,CC1(C)O[C@@H]2CC3C4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,80
188,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,88
572,N#C[C@@H]1[C@H](c2ccccc2)[C@@H](CO)N1S(=O)(=O)c1ccc(F)cc1,21
192,Cc1cccc(-c2nn3c(c2-c2ccnc4ccc(C(N)=O)cc24)CCC3)n1,6
193,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,91
199,COc1ccc2c3c([nH]c2c1)[C@H](CO)N(C(=O)C1CCOCC1)CC31CCN(Cc2cccc(F)c2)CC1,3
212,CC(C)N(CCCNC(=O)Nc1ccc(C(C)(C)C)cc1)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)C(O)[C@H]1O,49
216,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,53
344,C[C@H]1CCCCO[C@H](CN(C)C(=O)c2ccncc2)[C@@H](C)CN([C@H](C)CO)C(=O)c2cc(NC(=O)c3ccncc3)ccc2O1,109
424,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,110
227,COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)O)C(=O)OC2,26
230,CCC(C)[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]1C[C@@H](CC=C(C)[C@@H](OC3C[C@H](OC)C(O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)C=CC=C3CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2,1
235,OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O,41
238,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,56
246,CCCCCC(O)c1cccc(OCc2ccc3ccccc3n2)c1,107
249,Nc1nc(Nc2ccc3c(c2)CC[C@@H](N2CCCC2)CC3)nn1-c1cc2c(nn1)-c1ccccc1CCC2,22
254,COc1ccc(S(=O)(=O)N(C(C)=O)c2ccccc2C=Cc2cc[n+]([O-])cc2)cc1,64
287,Nc1cccc(-c2cc3c(Oc4cccc(O)c4)ncnc3[nH]2)c1,72
290,COc1cccc(N(C(=O)CCl)C(C(=O)NCCc2ccccc2)c2cccs2)c1,106
296,C[C@H]1CCCCO[C@@H](CN(C)S(=O)(=O)c2ccc(F)cc2)[C@H](C)CN([C@@H](C)CN(C)C)C(=O)c2cc(NC(=O)Nc3ccccc3)ccc2O1,38
303,C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)S(=O)(=O)c2ccc3c(c2)OCCO3)Oc2c(NC(=O)Nc3cccc4ccccc34)cccc2C1=O,44
327,O=C(O)[C@]1(Cc2cccc(Nc3nccs3)n2)CC[C@@H](Oc2cccc(Cl)c2F)CC1,71
329,CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,114
330,COc1ccccc1NC(=O)N1CCCCN2[C@H](CO)[C@H](c3ccc(-c4cccc(C#N)c4)cc3)[C@H]2C1,95
332,Cc1cc(CCC[C@H](CC(=O)NO)C(=O)N[C@H](C(=O)N[C@H](C)c2ccccc2)C(C)(C)C)ccc1-c1ccccc1,33
333,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,11
341,CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,69
346,O=C(Nc1ccc(C(F)(F)F)cc1)Nc1ccc2c(c1)[C@@H]1C[C@H](CC(=O)N3CCc4ccccc4C3)O[C@H](CO)[C@@H]1O2,116
352,COc1cccc(NC(=O)N[C@@H]2C=C[C@H](CC(=O)Nc3ccc(-c4ccccc4)cc3)O[C@H]2CO)c1,32
354,C[C@]12CC[C@@H]3c4ccc(O)cc4CC(CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)[C@H]3[C@@H]1CC[C@@H]2O,98
362,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,47
382,N#C[C@@H]1[C@H](c2ccc(C#Cc3ccccc3F)cc2)[C@H](CO)N1C(=O)c1cccnc1,5
421,Cc1cccc(-c2[nH]c(C(C)(C)C)nc2-c2ccc3nccnc3c2)n1,34
443,COC1=CC(c2cc3ccccc3[nH]2)=NC1=Cc1[nH]c(C)cc1C,66
474,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,43
494,COc1c(C)cnc(Cn2cnc3c(Cl)nc(N)nc32)c1C,113
496,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)Nc1snnc1-c1ccccc1)C1CCCCC1,18
