,common_drugs
376,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(Cl)cc23)c1F
52,CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1
449,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
63,Cc1ccc(C(=CCN2CCCC2)c2ccccn2)cc1
62,CCCCC(=O)OCC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](NC(=O)C(F)(F)F)[C@H](O)[C@H](C)O2)C1)C(=O)c1c(OC)cccc1C3=O
45,Cc1ccccc1-c1ccc(CN(C)C[C@@H]2Oc3cc(C#C[C@@H](C)O)ccc3S(=O)(=O)N([C@@H](C)CO)C[C@@H]2C)cc1
298,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2
32,CC(C)(O)[C@H]1O[C@H]2CC[C@@]3(C)[C@@](O)(CC[C@H]4Cc5c([nH]c6ccccc56)[C@@]43C)C2=CC1=O
143,Nc1nc(Nc2ccc3c(c2)CC[C@@H](N2CCCC2)CC3)nn1-c1cc2c(nn1)-c1ccccc1CCC2
119,CO[C@]12[C@@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1N[C@H]12
71,CC(=O)NC(c1cccs1)c1cc(F)c2cccnc2c1O
402,CC(C)C[C@@H](C(=O)N[C@H](C(=O)OC1CCCC1)c1ccccc1)[C@H](O)C(=O)NO
597,COc1ccc2c(c1)[nH]c1c(C)nccc12
451,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
565,C=CCc1ccc(O)c(-c2ccc(O)c(CC=C)c2)c1
553,O=C(O)C=Cc1ccc(-c2ccc(O)c(C34C[C@H]5C[C@@H](C3)C[C@@H](C4)C5)c2)c(Cl)c1
482,COc1cc2nccc(Oc3ccc(NC(=O)Nc4ccc(F)cc4F)c(F)c3)c2cc1OC
21,N#C[C@@H]1[C@H](c2ccc(C#Cc3ccccc3F)cc2)[C@H](CO)N1C(=O)c1cccnc1
129,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O
523,O=c1[nH]c(=O)n([C@@H]2C[C@H](O)[C@@H](CO)O2)cc1F
156,CCCCCOc1c(OC)ccc2cc(C(=O)NCc3ccc4c(c3)OCO4)c(=O)[nH]c12
23,c1ccc(CC2CCN(c3ncnc4sccc34)CC2)cc1
525,Clc1ccc(C(Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1
24,COc1ccc(S(=O)(=O)N(C(C)=O)c2ccccc2C=Cc2cc[n+]([O-])cc2)cc1
373,COC(=O)c1ccc([C@@H]2c3[nH]c4ccccc4c3C[C@@H](C(=O)OC)N2C(=O)CCl)cc1
266,CC(C)[C@@H](CS(=O)(=O)C(C)C)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1
