,common_drugs
481,C[C@H]1CN([C@H](C)CO)C(=O)c2ccccc2-c2ccccc2CO[C@H]1CN(C)Cc1ccc2c(c1)OCO2
288,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
273,O=C(c1ccccc1F)C(CN1CCOCC1)c1ccccc1
349,CN(C)CCN1C(=O)c2cccc3cc(N)cc(c23)C1=O
190,C[C@H]1CCCCO[C@@H](CN(C)Cc2ccc3c(c2)OCO3)[C@@H](C)CN([C@H](C)CO)C(=O)c2cc(N(C)C)ccc2O1
731,CS(=O)(=O)c1ccc(-c2cnc(N)c(C(=O)Nc3ccccc3)n2)cc1
848,NC(=O)Nc1cc(-c2cccc(F)c2)sc1C(=O)N[C@H]1CCCNC1
492,Cc1c[nH]c2ccccc12
554,O=C(CCCCCCNC(=O)c1cnc(N(c2ccccc2)c2ccccc2)nc1)NO
458,Clc1ccc(CCC(Cn2ccnc2)Sc2c(Cl)cccc2Cl)cc1
180,C[C@H]1CNCCCN1S(=O)(=O)c1cccc2cncc(F)c12
753,COC(=O)Nc1nc2cc(C(=O)c3ccc(F)cc3)ccc2[nH]1
87,CN1CCN(C2CCN(C(=O)Nc3cc(Oc4ccc(NC(=O)C5(C(=O)Nc6ccc(F)cc6)CC5)c(F)c4)ccn3)CC2)CC1
386,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O
844,Cn1c(=O)c([N+](=O)[O-])c(Cl)c2ccccc21
930,CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1
700,CCCOc1ccc2nc(NC(=O)OC)[nH]c2c1
341,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
12,CCNC(=O)c1cc2c(c(-c3cccc(-c4cccc(OC)c4)c3)n1)[C@H](CCO)N([S@@](=O)C(C)(C)C)C2
604,Cc1ccc(CNc2ncnc3ccc(-c4ccc(CO)o4)cc23)o1
101,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1
499,c1ccc(-c2ccc(CNc3nc(-c4ccccn4)nnc3-c3ccccc3)cc2)cc1
274,O=C(NCCCNc1nc(Nc2cccc(NC(=O)N3CCCC3)c2)ncc1I)c1cccs1
323,COc1ccccc1S(=O)(=O)Nc1ccc2c(c1)CN(C)C(=O)N2
550,CN(C)CC(=O)N1CCCCN2[C@@H](CO)[C@@H](c3ccc(C=Cc4ccccc4)cc3)[C@@H]2C1
856,CC(C)NCC(O)COc1cccc2[nH]ccc12
55,CO[C@H]1C=CC=C(C)C(=O)NC2=CC(=O)C(NCCN(C)C)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)C=C(C)[C@@H]1OC(N)=O)C2=O
808,C[C@@H]1CN([C@H](C)CO)C(=O)c2cccc(NC(=O)c3ccc(-c4nccs4)cc3)c2O[C@@H]1CN(C)Cc1ccc(Oc2ccccc2)cc1
94,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1
373,CC1=C(CO)C(=O)O[C@H](C(C)[C@H]2CC[C@@H]3[C@H]4C[C@H]5O[C@@]56[C@@H](O)C=CC(=O)[C@@]6(C)C4CC[C@@]23C)C1
