,MCF7,A549,PC3
KCenterGreedy,0.4481998332796478,0.5119651792716523,0.4802239784101445
KMeansSampling,0.4811081795405478,0.5157622771285825,0.49830768772380374
BadgeSampling,0.45267173497339996,0.5157149164025697,0.4767384223891909
LeastConfidence,0.46811804558237613,0.5294343256852194,0.493629095596865
MarginSampling,0.47191868538346665,0.5289580710921049,0.49654338816845484
BALDDropout,0.4835968382003432,0.5153087679953924,0.47787559692339915
