"","x"
"169","CPC005_A549_24H:BRD-A18419789-001-01-4:10"
"170","CPC005_A549_24H:BRD-A19037878:10"
"171","CPC005_A549_24H:BRD-A19500257:10"
"172","CPC005_A549_24H:BRD-A22713669-001-01-9:10"
"173","CPC005_A549_24H:BRD-A30717181-001-03-5:10"
"174","CPC005_A549_24H:BRD-A32836748-001-02-9:10"
"175","CPC005_A549_24H:BRD-A34299591-001-03-4:10"
"176","CPC005_A549_24H:BRD-A37780065-001-03-7:10"
"177","CPC005_A549_24H:BRD-A38749782-001-03-3:10"
"178","CPC005_A549_24H:BRD-A44448661-001-02-2:10"
"179","CPC005_A549_24H:BRD-A44701612-066-01-9:10"
"180","CPC005_A549_24H:BRD-A52660433-066-01-3:10"
"181","CPC005_A549_24H:BRD-A66435872-313-01-8:10"
"182","CPC005_A549_24H:BRD-A75409952:10"
"183","CPC005_A549_24H:BRD-A77824596-001-03-2:10"
"184","CPC005_A549_24H:BRD-A82238138-001-01-7:10"
"185","CPC005_A549_24H:BRD-A83695761-001-01-1:10"
"186","CPC005_A549_24H:BRD-A83855350-003-01-4:10"
"187","CPC005_A549_24H:BRD-A92439610-001-03-2:10"
"188","CPC005_A549_24H:BRD-A92670106-003-03-9:10"
"189","CPC005_A549_24H:BRD-K04210847-001-01-1:10"
"190","CPC005_A549_24H:BRD-K05395900-322-04-7:10"
"191","CPC005_A549_24H:BRD-K09778810-001-01-5:10"
"192","CPC005_A549_24H:BRD-K11742128-003-15-0:10"
"193","CPC005_A549_24H:BRD-K13725475-001-02-4:10"
"194","CPC005_A549_24H:BRD-K18036262-001-01-0:10"
"195","CPC005_A549_24H:BRD-K19507340-001-03-1:10"
"196","CPC005_A549_24H:BRD-K27305650-003-01-4:10"
"197","CPC005_A549_24H:BRD-K36377456-001-02-0:10"
"198","CPC005_A549_24H:BRD-K43796186-001-01-1:10"
"199","CPC005_A549_24H:BRD-K47150025-001-01-2:10"
"200","CPC005_A549_24H:BRD-K48722258-300-04-5:10"
"201","CPC005_A549_24H:BRD-K50464341-001-02-6:10"
"202","CPC005_A549_24H:BRD-K50841342-001-01-6:10"
"203","CPC005_A549_24H:BRD-K50891186-001-03-6:10"
"204","CPC005_A549_24H:BRD-K53959060-001-01-3:10"
"205","CPC005_A549_24H:BRD-K56429665-001-03-9:10"
"206","CPC005_A549_24H:BRD-K63430059-001-09-9:10"
"207","CPC005_A549_24H:BRD-K78599730-001-02-6:10"
"208","CPC005_A549_24H:BRD-K80639402-003-01-1:10"
"209","CPC005_A549_24H:BRD-K81376179-001-01-4:10"
"210","CPC005_A549_24H:BRD-K82577285-001-01-7:10"
"211","CPC005_A549_24H:BRD-K95655893-001-01-0:10"
"212","CPC006_A549_24H:BRD-A15079084-001-02-9:10"
"213","CPC006_A549_24H:BRD-A19037878:10"
"214","CPC006_A549_24H:BRD-A19500257:10"
"215","CPC006_A549_24H:BRD-A28105619-001-01-3:10"
"216","CPC006_A549_24H:BRD-A36275421-001-11-1:10"
"217","CPC006_A549_24H:BRD-A38030642-001-02-0:10"
"218","CPC006_A549_24H:BRD-A47829399-001-01-1:10"
"219","CPC006_A549_24H:BRD-A52650764-001-01-0:10"
"220","CPC006_A549_24H:BRD-A62025033-001-01-8:10"
"221","CPC006_A549_24H:BRD-A62809825-001-01-7:10"
"222","CPC006_A549_24H:BRD-A69951442-001-01-3:10"
"223","CPC006_A549_24H:BRD-A75409952:10"
"224","CPC006_A549_24H:BRD-K01638814-051-10-1:10"
"225","CPC006_A549_24H:BRD-K02526760-001-01-5:10"
"226","CPC006_A549_24H:BRD-K02822062-001-01-3:10"
"227","CPC006_A549_24H:BRD-K23875128-001-04-2:10"
"228","CPC006_A549_24H:BRD-K24132293-001-16-0:10"
"229","CPC006_A549_24H:BRD-K26664453-001-03-4:10"
"230","CPC006_A549_24H:BRD-K37865504-001-02-5:10"
"231","CPC006_A549_24H:BRD-K45399554-001-03-2:10"
"232","CPC006_A549_24H:BRD-K47983010-001-02-1:10"
