"","x"
"150","CPC002_PC3_24H:BRD-K08547377-003-03-2:10"
"151","CPC002_PC3_24H:BRD-K12079898-001-01-8:10"
"152","CPC002_PC3_24H:BRD-K12867552-001-01-3:10"
"153","CPC002_PC3_24H:BRD-K13646352-001-01-2:10"
"154","CPC002_PC3_24H:BRD-K15567136-003-18-1:10"
"155","CPC002_PC3_24H:BRD-K20755323-001-01-8:10"
"156","CPC002_PC3_24H:BRD-K32501161-300-04-7:10"
"157","CPC002_PC3_24H:BRD-K34092021-001-02-3:10"
"158","CPC002_PC3_24H:BRD-K36927236-001-15-1:10"
"159","CPC002_PC3_24H:BRD-K37312348-001-06-9:10"
"160","CPC002_PC3_24H:BRD-K40578143-001-01-8:10"
"161","CPC002_PC3_24H:BRD-K51318897-001-07-0:10"
"162","CPC002_PC3_24H:BRD-K51918615-303-01-1:10"
"163","CPC002_PC3_24H:BRD-K52620403-015-02-6:10"
"164","CPC002_PC3_24H:BRD-K53523901-001-02-8:10"
"165","CPC002_PC3_24H:BRD-K53913732-001-01-8:10"
"166","CPC002_PC3_24H:BRD-K54330070-001-07-1:10"
"167","CPC002_PC3_24H:BRD-K60640630-001-03-7:10"
"168","CPC002_PC3_24H:BRD-K67298865-001-03-3:10"
"169","CPC002_PC3_24H:BRD-K73824630-001-03-2:10"
"170","CPC002_PC3_24H:BRD-K80348542-001-01-4:10"
"171","CPC002_PC3_24H:BRD-K86727142-001-06-6:10"
"172","CPC002_PC3_24H:BRD-K88677950-001-01-3:10"
"173","CPC002_PC3_24H:BRD-K90382497-001-02-4:10"
"174","CPC002_PC3_24H:BRD-K90524085-001-06-0:10"
"175","CPC002_PC3_24H:BRD-K92000912-001-06-8:10"
"176","CPC002_PC3_24H:BRD-K93480852-001-02-2:10"
"177","CPC002_PC3_24H:BRD-K97399794-001-08-8:10"
"178","CPC002_PC3_24H:BRD-K98143437-001-01-7:10"
"179","CPC003_PC3_24H:BRD-A19037878:10"
"180","CPC003_PC3_24H:BRD-A19500257:10"
"181","CPC003_PC3_24H:BRD-A50737080-001-01-4:10"
"182","CPC003_PC3_24H:BRD-A55594068-065-03-1:10"
"183","CPC003_PC3_24H:BRD-A60414806-065-01-6:10"
"184","CPC003_PC3_24H:BRD-A70649075-008-17-5:10"
"185","CPC003_PC3_24H:BRD-A72596465-001-01-3:10"
"186","CPC003_PC3_24H:BRD-A75172220-001-03-2:10"
"187","CPC003_PC3_24H:BRD-A75409952:10"
"188","CPC003_PC3_24H:BRD-K03015355-003-01-5:10"
"189","CPC003_PC3_24H:BRD-K08438429-001-01-0:10"
"190","CPC003_PC3_24H:BRD-K08714182-001-01-1:10"
"191","CPC003_PC3_24H:BRD-K09132007-001-01-8:10"
"192","CPC003_PC3_24H:BRD-K10207760-236-03-0:10"
"193","CPC003_PC3_24H:BRD-K10705233-001-01-4:10"
"194","CPC003_PC3_24H:BRD-K15409150-001-01-7:10"
"195","CPC003_PC3_24H:BRD-K17415526-001-02-7:10"
"196","CPC003_PC3_24H:BRD-K17497770-001-01-0:10"
"197","CPC003_PC3_24H:BRD-K22503835-001-06-0:10"
"198","CPC003_PC3_24H:BRD-K30296925-001-02-1:10"
"199","CPC003_PC3_24H:BRD-K34995470-001-02-3:10"
"200","CPC003_PC3_24H:BRD-K35708212-331-03-1:10"
"201","CPC003_PC3_24H:BRD-K36007650-300-02-3:10"
"202","CPC003_PC3_24H:BRD-K37691127-001-02-2:10"
"203","CPC003_PC3_24H:BRD-K53737926-003-14-6:10"
"204","CPC003_PC3_24H:BRD-K53987533-003-01-9:10"
"205","CPC003_PC3_24H:BRD-K61401890-001-04-6:10"
"206","CPC003_PC3_24H:BRD-K63606607-001-01-8:10"
"207","CPC003_PC3_24H:BRD-K65503129-001-01-4:10"
"208","CPC003_PC3_24H:BRD-K67537649-001-01-1:10"
"209","CPC003_PC3_24H:BRD-K68143200-001-04-2:10"
"210","CPC003_PC3_24H:BRD-K72462751-001-01-9:10"
"211","CPC003_PC3_24H:BRD-K72783841-001-01-0:10"
"212","CPC003_PC3_24H:BRD-K72895815-001-01-4:10"
"213","CPC003_PC3_24H:BRD-K76805682-001-05-0:10"
"214","CPC003_PC3_24H:BRD-K78122587-300-01-9:10"
"215","CPC003_PC3_24H:BRD-K88429204-001-18-7:10"
"216","CPC003_PC3_24H:BRD-K92049597-001-10-9:10"
"217","CPC003_PC3_24H:BRD-K95435023-001-01-0:10"
"218","CPC003_PC3_24H:BRD-K97564742-050-18-6:10"
"219","CPC004_PC3_24H:BRD-A06352418-001-15-0:10"
"220","CPC004_PC3_24H:BRD-A11678676-001-03-4:10"
"221","CPC004_PC3_24H:BRD-A19500257:10"
"222","CPC004_PC3_24H:BRD-A35588707-001-03-0:10"
"223","CPC004_PC3_24H:BRD-A58564983-001-03-8:10"
"224","CPC004_PC3_24H:BRD-A65671304-001-03-4:10"
"225","CPC004_PC3_24H:BRD-A68723818-050-18-4:10"
"226","CPC004_PC3_24H:BRD-A68930007-001-03-1:10"
"227","CPC004_PC3_24H:BRD-A72703248-003-01-5:10"
"228","CPC004_PC3_24H:BRD-A75409952:10"
"229","CPC004_PC3_24H:BRD-K03109492-001-01-4:10"
"230","CPC004_PC3_24H:BRD-K09602097-001-04-5:10"
"231","CPC004_PC3_24H:BRD-K12539581-001-14-6:10"
"232","CPC004_PC3_24H:BRD-K17075857-001-06-9:10"
"233","CPC004_PC3_24H:BRD-K22134346-001-11-6:10"
"234","CPC004_PC3_24H:BRD-K30867024-003-01-7:10"
"235","CPC004_PC3_24H:BRD-K31542390-001-01-5:10"
"236","CPC004_PC3_24H:BRD-K33818169-003-01-2:10"
"237","CPC004_PC3_24H:BRD-K36737713-001-01-6:10"
"238","CPC004_PC3_24H:BRD-K37991163-003-06-8:10"
"239","CPC004_PC3_24H:BRD-K39120595-304-03-9:10"
"240","CPC004_PC3_24H:BRD-K41731458-001-04-5:10"
